cluster,Cod SKU,Nombre SKU,conteo_clientes,porcentaje_clientes_cluster,nombre_cluster
0,1020,VIENESA TRADICIONAL 20X250 GR SJ,5536,0.8734616598295992,Básica vienesa-paté
0,421,PATE TERNERA 8x125 GRS.SJ,5358,0.845377090564847,Básica vienesa-paté
1,8508,"SALCHICHON CERVEZA 1,6 KGS.WIN",5627,0.7613313489378974,Charcutería colonial/salchichón
1,1020,VIENESA TRADICIONAL 20X250 GR SJ,5533,0.7486131781896902,Charcutería colonial/salchichón
1,3071,PATE TERNERA 160 Gr.(x10),5495,0.743471790014883,Charcutería colonial/salchichón
1,421,PATE TERNERA 8x125 GRS.SJ,5275,0.7137058584765255,Charcutería colonial/salchichón
1,3239,JAMON CENTENARIO COLONIAL MINI PZA LP,5176,0.7003111892842646,Charcutería colonial/salchichón
1,3456,"SALAME LAMINADO 1,6 KG LP",5000,0.6764984440535787,Charcutería colonial/salchichón
1,3032,SALCHICHON CERVEZA LP,4610,0.6237315654173995,Charcutería colonial/salchichón
1,3313,MORTADELA JAMONADA CENTENARIO LP,4124,0.5579759166553917,Charcutería colonial/salchichón
2,8043,BOLOGNA 3 KGS.WIN,2337,0.9273809523809524,Fiambrería tradicional surtida
2,421,PATE TERNERA 8x125 GRS.SJ,2190,0.8690476190476191,Fiambrería tradicional surtida
2,1020,VIENESA TRADICIONAL 20X250 GR SJ,2138,0.8484126984126984,Fiambrería tradicional surtida
2,30,ARROLLADO HUASO CON AJI SJ,1903,0.7551587301587301,Fiambrería tradicional surtida
2,8508,"SALCHICHON CERVEZA 1,6 KGS.WIN",1897,0.7527777777777778,Fiambrería tradicional surtida
2,8463,QUESO CABEZA WIN,1790,0.7103174603174603,Fiambrería tradicional surtida
2,6783,MANTEQUILLA 125 GRS x8 LOS NOGALES,1684,0.6682539682539682,Fiambrería tradicional surtida
2,210,FIAMBRE SANDWICH SJ,1658,0.6579365079365079,Fiambrería tradicional surtida
2,8117,COPPA MOLDE C/ALINO WIN,1621,0.6432539682539683,Fiambrería tradicional surtida
2,3997,CAJA SNACKIN SALAME LP 10x18 G.,1317,0.5226190476190476,Fiambrería tradicional surtida
2,3313,MORTADELA JAMONADA CENTENARIO LP,1303,0.5170634920634921,Fiambrería tradicional surtida
2,20,ARROLLADO LOMO CON AJI SJ,1299,0.5154761904761904,Fiambrería tradicional surtida
2,3456,"SALAME LAMINADO 1,6 KG LP",1271,0.5043650793650793,Fiambrería tradicional surtida
3,3071,PATE TERNERA 160 Gr.(x10),1422,0.8359788359788359,Formato chico paté-salame-lácteos
3,3034,SALAME 10x100 GR LP,1385,0.8142269253380364,Formato chico paté-salame-lácteos
3,6783,MANTEQUILLA 125 GRS x8 LOS NOGALES,992,0.5831863609641388,Formato chico paté-salame-lácteos
3,3201,JAMON PIERNA 10x200 GR LP,925,0.5437977660199882,Formato chico paté-salame-lácteos
3,6777,QUESO LAMINADO GAUDA 250 GR LOS NOGALES,916,0.538506760728983,Formato chico paté-salame-lácteos
3,3991,HAMBURGUESA GRILL TASTE LP 24x100 GR.,864,0.5079365079365079,Formato chico paté-salame-lácteos
4,421,PATE TERNERA 8x125 GRS.SJ,5125,0.7831601466992665,Mortadelas + básicos
4,399,MORTADELA LISA 3 KG SJ,5026,0.7680317848410758,Mortadelas + básicos
4,1020,VIENESA TRADICIONAL 20X250 GR SJ,4946,0.7558068459657702,Mortadelas + básicos
4,3313,MORTADELA JAMONADA CENTENARIO LP,4882,0.7460268948655256,Mortadelas + básicos
4,210,FIAMBRE SANDWICH SJ,3706,0.566320293398533,Mortadelas + básicos
5,6770,QUESO GAUDA LAMINADO 1KG.LOS NOGALES,4614,0.708864648947611,Queso gauda + básicos
5,1020,VIENESA TRADICIONAL 20X250 GR SJ,4083,0.6272852972806883,Queso gauda + básicos
5,6783,MANTEQUILLA 125 GRS x8 LOS NOGALES,4067,0.6248271623905362,Queso gauda + básicos
5,421,PATE TERNERA 8x125 GRS.SJ,3836,0.5893378399139653,Queso gauda + básicos
5,6777,QUESO LAMINADO GAUDA 250 GR LOS NOGALES,3267,0.5019204178829313,Queso gauda + básicos
6,3034,SALAME 10x100 GR LP,1692,0.9180683667932719,Salame chico / comida rápida
6,1020,VIENESA TRADICIONAL 20X250 GR SJ,1384,0.7509495387954422,Salame chico / comida rápida
6,421,PATE TERNERA 8x125 GRS.SJ,1379,0.7482365708084645,Salame chico / comida rápida
6,710,HAMBURGUESA 24x90 GR SJ,1199,0.6505697232772654,Salame chico / comida rápida
6,2288,PAPAS FRITAS 10x1 KG SJ,1192,0.6467715680954965,Salame chico / comida rápida
6,689,HAMBURGUESA BRONTO 20x185 GR SJ,1118,0.6066196418882257,Salame chico / comida rápida
6,970,MOLIDA 14x250 GR SJ,1084,0.588171459576777,Salame chico / comida rápida
6,6777,QUESO LAMINADO GAUDA 250 GR LOS NOGALES,1052,0.5708084644601193,Salame chico / comida rápida
6,3991,HAMBURGUESA GRILL TASTE LP 24x100 GR.,1003,0.5442213781877374,Salame chico / comida rápida
7,3456,"SALAME LAMINADO 1,6 KG LP",2363,1.0,Salame laminado + básicos
7,421,PATE TERNERA 8x125 GRS.SJ,1486,0.6288616165890817,Salame laminado + básicos
7,1020,VIENESA TRADICIONAL 20X250 GR SJ,1465,0.6199746085484553,Salame laminado + básicos
