,Cod Cliente,Zona,Distrito,Comuna,Canal,SubCanal,TipoNeg,venta_total_clp,n_facturas,ticket_promedio,ticket_desv_std,dias_entre_compras,recencia
0,1199536,SUR 1,TALCA,LINARES,COBERTURA,COBERTURA,AL,323739,11,29430.81818181818,10364.347696002695,12.25,11
1,1178409,NORTE 2,VIÑA INTERIOR,QUILLOTA,COBERTURA,COBERTURA,AL,1016707,10,101670.7,46008.95966137706,7.0,3
2,1096778,SANTIAGO,SANTIAGO CENTRO COSTA,SAN ANTONIO,COBERTURA,VOLUMEN COBERTURA,AL,2702788,10,270278.8,116917.52444617625,6.222222222222222,4
3,1151218,SANTIAGO,SANTIAGO CENTRO COSTA,SAN ANTONIO,COBERTURA,COBERTURA,AL,904333,11,82212.09090909091,58936.223281534665,6.222222222222222,4
4,1000127,NORTE 2,SAN FELIPE,LOS ANDES,COBERTURA,COBERTURA,AL,90623,3,30207.666666666668,373.54562416568814,24.5,11
5,1000245,,,,,,,225832,7,32261.714285714286,16745.877071827617,7.0,32
6,1000322,NORTE 1,ANTOFAGASTA,ANTOFAGASTA,COBERTURA,COBERTURA,AL,734940,15,48996.0,33387.18409381488,8.0,4
7,1000332,SANTIAGO,SANTIAGO NORTE 1,QUILICURA,COBERTURA,COBERTURA,AL,379137,8,47392.125,11455.563868861778,8.0,4
8,1000336,SANTIAGO,SANTIAGO NORTE 2,RENCA,COBERTURA,COBERTURA,AL,402604,9,44733.77777777778,13735.84624056503,7.0,4
9,1000384,NORTE 1,CALAMA,CALAMA,COBERTURA,COBERTURA,AL,164749,6,27458.166666666668,12663.095599681252,14.0,4
10,1000580,SANTIAGO,SANTIAGO PONIENTE 1,PEDRO AGUIRRE CERDA,COBERTURA,COBERTURA,PA,1649186,9,183242.88888888888,13893.945250040075,7.0,4
11,1000608,SUR 1,SAN FERNANDO,PAREDONES,COBERTURA,VOLUMEN COBERTURA,CA,1944632,17,114390.11764705883,93122.00253825782,7.0,4
12,1000615,NORTE 1,COPIAPO,COPIAPO,COBERTURA,COBERTURA,AL,162966,6,27161.0,13478.505436434709,18.666666666666668,4
13,1000722,SANTIAGO,SANTIAGO SUR 1,LA CISTERNA,COBERTURA,COBERTURA,MK,197067,5,39413.4,8677.171388188664,12.25,11
14,1000781,SANTIAGO,SANTIAGO NORTE 1,QUILICURA,COBERTURA,COBERTURA,AL,980251,9,108916.77777777778,13581.60831582344,7.0,4
15,1000998,SUR 2,LOS ANGELES,SANTA BARBARA,COBERTURA,COBERTURA,PA,315643,9,35071.444444444445,12068.755115080336,14.0,4
16,1001129,NORTE 1,COPIAPO,TIERRA AMARILLA,COBERTURA,COBERTURA,AL,255190,13,19630.0,8602.998314541273,8.0,4
17,1001255,NORTE 1,ANTOFAGASTA,ANTOFAGASTA,COBERTURA,COBERTURA,AL,134344,3,44781.333333333336,3517.4113113671146,21.0,18
18,1001302,SANTIAGO,SANTIAGO PONIENTE 2,SAN BERNARDO,COBERTURA,COBERTURA,AL,1550909,15,103393.93333333333,36455.73226818416,7.0,4
19,1001429,SUR 1,SAN FERNANDO,PERALILLO,COBERTURA,COBERTURA,MK,1121399,18,62299.944444444445,49999.719898594514,7.0,4
20,1001463,SUR 1,CURICO,VICHUQUEN,COBERTURA,COBERTURA,AL,491201,10,49120.1,26921.152783844736,9.333333333333334,4
21,10016,SANTIAGO,SANTIAGO SUR 1,LA CISTERNA,COBERTURA,COBERTURA,AL,1242099,17,73064.64705882352,18351.948101431823,3.6875,1
22,1001651,NORTE 1,IQUIQUE,IQUIQUE,COBERTURA,COBERTURA,AL,55799,1,55799.0,,,60
23,1002116,NORTE 2,VIÑA COSTA,VIÑA DEL MAR,COBERTURA,COBERTURA,AL,495950,12,41329.166666666664,21516.502596139944,7.0,4
24,1002464,NORTE 2,VIÑA INTERIOR,PETORCA,COBERTURA,COBERTURA,AL,209807,9,23311.88888888889,14420.411154371122,9.8,11
25,1002518,SUR 2,CONCEPCION SUR,SAN PEDRO DE LA PAZ,COBERTURA,COBERTURA,AL,1013620,20,50681.0,21745.77684105704,3.7333333333333334,4
26,1002888,NORTE 2,LA SERENA,COQUIMBO,COBERTURA,COBERTURA,AL,432595,14,30899.64285714286,21113.770284623926,8.0,4
27,1002902,NORTE 1,COPIAPO,COPIAPO,COBERTURA,COBERTURA,AL,1326224,15,88414.93333333333,74733.09078166747,7.0,4
28,1003366,NORTE 1,IQUIQUE,IQUIQUE,COBERTURA,COBERTURA,AL,981412,11,89219.27272727272,58512.21347563415,9.333333333333334,4
29,1003466,NORTE 2,VIÑA COSTA,VIÑA DEL MAR,COBERTURA,VOLUMEN COBERTURA,AL,1337210,18,74289.44444444444,60758.11756777102,7.0,4
30,1003678,SUR 1,SAN FERNANDO,LAS CABRAS,COBERTURA,COBERTURA,AL,887882,18,49326.77777777778,30844.63838918325,7.0,4
31,1003697,NORTE 1,COPIAPO,CALDERA,COBERTURA,COBERTURA,AL,350239,14,25017.071428571428,15902.486459981348,9.333333333333334,4
32,1003766,NORTE 2,LA SERENA,COQUIMBO,COBERTURA,COBERTURA,AL,276162,7,39451.71428571428,19326.151390575116,14.0,4
33,1004023,SUR 2,CONCEPCION SUR,CORONEL,COBERTURA,COBERTURA,AL,265259,6,44209.833333333336,17484.16219801986,12.25,11
34,1004025,SUR 2,CONCEPCION SUR,CORONEL,COBERTURA,COBERTURA,AL,479115,12,39926.25,26308.750127960364,7.0,4
35,1004055,SANTIAGO,SANTIAGO PONIENTE 1,PEDRO AGUIRRE CERDA,COBERTURA,COBERTURA,MK,710179,8,88772.375,48555.112250888975,9.333333333333334,4
36,1004141,NORTE 2,VIÑA COSTA,VALPARAISO,COBERTURA,COBERTURA,AL,358654,13,27588.76923076923,15250.25758336476,7.0,4
37,1004244,SUR 2,CONCEPCION SUR,LEBU,COBERTURA,VOLUMEN COBERTURA,SL,4952765,39,126993.97435897436,81201.16171404108,8.0,4
38,1004300,SUR 2,CONCEPCION SUR,ARAUCO,COBERTURA,COBERTURA,AL,359732,7,51390.28571428572,27832.12037505279,14.0,4
39,1004451,SANTIAGO,SANTIAGO CENTRO ORIENTE,ÑUÑOA,COBERTURA,COBERTURA,AL,1138511,9,126501.22222222222,39740.05975328226,7.0,4
40,1004622,SANTIAGO,SANTIAGO NORTE 2,CERRO NAVIA,COBERTURA,COBERTURA,AL,777999,8,97249.875,29207.7155874828,8.0,4
41,1004658,SANTIAGO,SANTIAGO PONIENTE 2,SAN BERNARDO,COBERTURA,COBERTURA,CA,877664,9,97518.22222222222,13827.248648753104,7.0,4
42,1004670,NORTE 2,VIÑA COSTA,VIÑA DEL MAR,COBERTURA,COBERTURA,AL,1717685,19,90404.47368421052,77587.23271644951,7.0,4
43,1004726,SANTIAGO,SANTIAGO NORTE 2,RENCA,COBERTURA,COBERTURA,AL,785997,10,78599.7,16726.63795699675,6.222222222222222,4
44,1004956,SANTIAGO,SANTIAGO NORTE 1,QUILICURA,COBERTURA,COBERTURA,AL,373924,5,74784.8,49778.52444779777,8.75,25
45,1005051,SANTIAGO,SANTIAGO SUR 2,PUENTE ALTO,COBERTURA,COBERTURA,AL,295242,8,36905.25,8507.216075611506,8.0,4
46,1005180,SUR 1,RANCAGUA,GRANEROS,COBERTURA,COBERTURA,AL,313051,8,39131.375,16067.380433105543,14.0,4
47,1005227,SUR 2,CONCEPCION NORTE,TALCAHUANO,COBERTURA,COBERTURA,AL,77639,3,25879.666666666668,18423.787241860275,42.0,18
48,1005309,NORTE 2,LA SERENA,LA SERENA,COBERTURA,COBERTURA,AL,789737,20,39486.85,28599.946599646508,7.0,4
