,cluster,Cod SKU,Nombre SKU,conteo_clientes,porcentaje_clientes_cluster
0,1,3456,"SALAME LAMINADO 1,6 KG LP",2363,1.0
1,1,421,PATE TERNERA 8x125 GRS.SJ,1486,0.6288616165890817
2,1,1020,VIENESA TRADICIONAL 20X250 GR SJ,1465,0.6199746085484553
3,2,399,MORTADELA LISA 3 KG SJ,3544,0.9787351560342447
4,2,421,PATE TERNERA 8x125 GRS.SJ,3151,0.8702016017674675
5,2,1020,VIENESA TRADICIONAL 20X250 GR SJ,2895,0.7995028997514498
6,2,210,FIAMBRE SANDWICH SJ,2816,0.7776857221761945
7,2,2288,PAPAS FRITAS 10x1 KG SJ,2043,0.5642087821043911
8,2,3456,"SALAME LAMINADO 1,6 KG LP",2020,0.5578569455951394
9,2,1404,MORTADELA JAMONADA 3 KG SJ,2005,0.5537144435238884
10,2,3313,MORTADELA JAMONADA CENTENARIO LP,1959,0.5410107705053853
11,2,970,MOLIDA 14x250 GR SJ,1956,0.5401822700911351
12,2,710,HAMBURGUESA 24x90 GR SJ,1926,0.531897265948633
13,3,6770,QUESO GAUDA LAMINADO 1KG.LOS NOGALES,3916,1.0
14,3,1020,VIENESA TRADICIONAL 20X250 GR SJ,2604,0.6649642492339122
15,3,421,PATE TERNERA 8x125 GRS.SJ,2418,0.6174668028600613
16,3,6783,MANTEQUILLA 125 GRS x8 LOS NOGALES,2258,0.576608784473953
17,3,3313,MORTADELA JAMONADA CENTENARIO LP,2022,0.5163432073544433
18,4,6777,QUESO LAMINADO GAUDA 250 GR LOS NOGALES,2593,1.0
19,4,6783,MANTEQUILLA 125 GRS x8 LOS NOGALES,1809,0.6976475125337447
20,4,1020,VIENESA TRADICIONAL 20X250 GR SJ,1479,0.5703817971461628
21,4,421,PATE TERNERA 8x125 GRS.SJ,1418,0.5468569224836097
22,5,3034,SALAME 10x100 GR LP,1692,0.9180683667932719
23,5,1020,VIENESA TRADICIONAL 20X250 GR SJ,1384,0.7509495387954422
24,5,421,PATE TERNERA 8x125 GRS.SJ,1379,0.7482365708084645
25,5,710,HAMBURGUESA 24x90 GR SJ,1199,0.6505697232772654
26,5,2288,PAPAS FRITAS 10x1 KG SJ,1192,0.6467715680954965
27,5,689,HAMBURGUESA BRONTO 20x185 GR SJ,1118,0.6066196418882257
28,5,970,MOLIDA 14x250 GR SJ,1084,0.588171459576777
29,5,6777,QUESO LAMINADO GAUDA 250 GR LOS NOGALES,1052,0.5708084644601193
30,5,3991,HAMBURGUESA GRILL TASTE LP 24x100 GR.,1003,0.5442213781877374
31,6,8508,"SALCHICHON CERVEZA 1,6 KGS.WIN",4574,0.9731914893617021
32,6,1020,VIENESA TRADICIONAL 20X250 GR SJ,3834,0.8157446808510638
33,6,3071,PATE TERNERA 160 Gr.(x10),3786,0.805531914893617
34,6,421,PATE TERNERA 8x125 GRS.SJ,3568,0.7591489361702127
35,6,3456,"SALAME LAMINADO 1,6 KG LP",3283,0.6985106382978723
36,6,3032,SALCHICHON CERVEZA LP,3118,0.6634042553191489
37,6,3239,JAMON CENTENARIO COLONIAL MINI PZA LP,2485,0.5287234042553192
38,6,3313,MORTADELA JAMONADA CENTENARIO LP,2428,0.516595744680851
39,6,423,PATE JAMON 8x125 GRS.SJ,2386,0.5076595744680851
40,7,8043,BOLOGNA 3 KGS.WIN,2337,0.9273809523809524
41,7,421,PATE TERNERA 8x125 GRS.SJ,2190,0.8690476190476191
42,7,1020,VIENESA TRADICIONAL 20X250 GR SJ,2138,0.8484126984126984
43,7,30,ARROLLADO HUASO CON AJI SJ,1903,0.7551587301587301
44,7,8508,"SALCHICHON CERVEZA 1,6 KGS.WIN",1897,0.7527777777777778
45,7,8463,QUESO CABEZA WIN,1790,0.7103174603174603
46,7,6783,MANTEQUILLA 125 GRS x8 LOS NOGALES,1684,0.6682539682539682
47,7,210,FIAMBRE SANDWICH SJ,1658,0.6579365079365079
48,7,8117,COPPA MOLDE C/ALINO WIN,1621,0.6432539682539683
49,7,3997,CAJA SNACKIN SALAME LP 10x18 G.,1317,0.5226190476190476
50,7,3313,MORTADELA JAMONADA CENTENARIO LP,1303,0.5170634920634921
51,7,20,ARROLLADO LOMO CON AJI SJ,1299,0.5154761904761904
52,7,3456,"SALAME LAMINADO 1,6 KG LP",1271,0.5043650793650793
53,8,3239,JAMON CENTENARIO COLONIAL MINI PZA LP,2691,1.0
