,cod_sku,nombre_sku,nombre_marca,nombre_familia,precio_real
0,20,ARROLLADO LOMO CON AJI SJ,SAN JORGE,ARROLLADOS,4875.61992871697
1,27,ARROLLADO LOMO SIN AJI SJ,SAN JORGE,ARROLLADOS,4850.7439346071
2,30,ARROLLADO HUASO CON AJI SJ,SAN JORGE,ARROLLADOS,4876.242751057929
3,102,ARROLLADO LOMO CON AJI 12x150 GR SJ,SAN JORGE,ARROLLADOS,5599.548010313642
4,151,CHORIZO 12X250 GR SJ,SAN JORGE,PARRILLEROS,3555.0479210583635
5,210,FIAMBRE SANDWICH SJ,SAN JORGE,FIAMBRES,3591.8171090889023
6,215,FIAMBRE JAMON SANDWICH 12x250 GR SJ,SAN JORGE,FIAMBRES,4107.035401718997
7,217,FIAMBRE SANDWICH 4x500 GR SJ,SAN JORGE,FIAMBRES,3831.713335953514
8,253,JAMON PAVO AHUM 4x500 GR SJ,SAN JORGE,JAMON G1,9201.256282287015
9,254,JAMON PIERNA 4x500 GR SJ,SAN JORGE,JAMON G1,6657.017715633109
10,265,JAMONADA DE AVE 3 KGS.SJ,SAN JORGE,MORTADELAS,3712.612613363116
11,282,LONGANIZA SUREÑA SJ 400 G.,SAN JORGE,PARRILLEROS,4435.425443727275
12,399,MORTADELA LISA 3 KG SJ,SAN JORGE,MORTADELAS,2680.874935186601
13,403,MORTADELA LISA MINI PZA 8X400 GR SJ,SAN JORGE,MORTADELAS,2280.0994107650304
14,410,PATE AVE 16X125 GR SJ,SAN JORGE,PATE,3627.924085143516
15,421,PATE TERNERA 8x125 GRS.SJ,SAN JORGE,PATE,3838.121127917364
16,422,PATE SABOR AVE 8x125 GRS.SJ,SAN JORGE,PATE,3808.5203690333424
17,423,PATE JAMON 8x125 GRS.SJ,SAN JORGE,PATE,3825.909194277137
18,430,PATE TERNERA 16X125 GR SJ,SAN JORGE,PATE,3811.0601354675127
19,440,PASTA  JAMON 16x125 GR SJ,SAN JORGE,PATE,3699.295513395873
20,552,ARROLLADO LOMO 4x500 GR SJ,SAN JORGE,ARROLLADOS,4734.749040577414
21,604,SALAME ITALIANO 15x100 GRS.SJ,SAN JORGE,SALAMES,11188.396697512613
22,606,SALAME AHUMADO 15x100 GRS.SJ,SAN JORGE,SALAMES,10801.922094823101
23,616,SALAME ITALIANO 80 GR. SJ,SAN JORGE,SALAMES,5321.106411862991
24,617,SALAME AHUMADO 80 GR. SJ,SAN JORGE,SALAMES,5494.968487675519
25,618,SALAME AHUMADO SAN JORGE 150 G.,SAN JORGE,SALAMES,8960.686083439761
26,619,SALAME ITALIANO SAN JORGE 150 G.,SAN JORGE,SALAMES,7257.425286004342
27,677,HAMBURGUESA BRONTO SJ 4x185 G.,SAN JORGE,HAMBURGUESAS,2940.796330297689
28,689,HAMBURGUESA BRONTO 20x185 GR SJ,SAN JORGE,HAMBURGUESAS,3851.106636499998
29,710,HAMBURGUESA 24x90 GR SJ,SAN JORGE,HAMBURGUESAS,3847.8874738027366
30,716,BOLSA HAMBURGUESA 10X90 GR SJ,SAN JORGE,HAMBURGUESAS,3816.4712991310475
31,738,"SALCHICHON CERVEZA 1,6 KG SJ",SAN JORGE,MORTADELAS,3967.270211251851
32,864,SALCHICHA BRONTO 950 GRS.SJ,SAN JORGE,VIENESAS,2594.811007481639
33,904,VIENESA PAVO 12X250 GR SJ,SAN JORGE,VIENESAS,3136.3461314066262
34,915,VIENESA SUREÑA 12x250 GR SJ,SAN JORGE,VIENESAS,3100.2681249300385
35,916,VIENESA SUREÑA 8X1 KG SJ,SAN JORGE,VIENESAS,2517.889464920126
36,921,SALCHICHA BRONTO 475 GRS.SJ,SAN JORGE,VIENESAS,1847.3016692584154
37,970,MOLIDA 14x250 GR SJ,SAN JORGE,CARNES,4598.758216088753
38,1006,VIENESA 10X380 GR SJ,SAN JORGE,VIENESAS,3032.921830077121
39,1018,VIENESA PAVO 8X1 KG SJ,SAN JORGE,VIENESAS,2512.5729204213226
40,1019,VIENESA DE POLLO 8X1 KG SJ,SAN JORGE,VIENESAS,2266.340930727899
41,1020,VIENESA TRADICIONAL 20X250 GR SJ,SAN JORGE,VIENESAS,2874.1484590315417
42,1025,VIENESA TRADICIONAL 8X500 GR SJ,SAN JORGE,VIENESAS,2030.560622240829
43,1032,VIENESA TRADICIONAL 8X1 KG SJ,SAN JORGE,VIENESAS,2316.8111291328883
45,1038,VIENESA 22 CM CALIBRE 28 SJ,SAN JORGE,VIENESAS,2663.918500613589
46,1039,VIENESA POLLO 12x250 GR SJ,SAN JORGE,VIENESAS,2887.5884917925996
47,1052,VIENESA 14 CM CALIBRE 28 8X960 GRS. SJ,SAN JORGE,VIENESAS,2635.9710559874193
48,1053,VIENESA 17 CM CALIBRE 28 SJ,SAN JORGE,VIENESAS,2665.3322565754884
49,1064,"SALAME ITALIANO LAMINADO 1,6 KG SJ",SAN JORGE,SALAMES,7895.049300545635
50,1066,"SALAME AHUMADO LAMINADO 1,6 KG SJ",SAN JORGE,SALAMES,7910.814406223041
51,1103,CHURRASCO 3 UNIDADES 25x120 GR SJ,SAN JORGE,CARNES,6440.787971722511
52,1111,MORTADELA JAMONADA DE PAVO 3 KG SJ,SAN JORGE,MORTADELAS,3965.58611722054
53,1228,JAMON PLANCHADO SJ,SAN JORGE,JAMON G2,5081.486666642474
54,1249,JAMON PLANCHADO 12X200 GR SJ,SAN JORGE,JAMON G2,6430.892541948193
55,1350,JAMON ACARAMELADO SJ,SAN JORGE,JAMON G1,6542.69314224291
56,1372,JAMON COLONIAL MINI PZA SJ,SAN JORGE,JAMON G1,6575.462357801076
57,1374,JAMON COLONIAL 12x200 GR SJ,SAN JORGE,JAMON G1,7598.765635994967
58,1388,JAMON ARTESANAL 12X200 GR SJ,SAN JORGE,JAMON G2,6422.001601270827
59,1397,JAMON ACARAM 12x200 GR SJ,SAN JORGE,JAMON G1,7400.798992096978
60,1402,MORTADELA LISA 250 GRS.SJ,SAN JORGE,MORTADELAS,3719.359659210073
61,1404,MORTADELA JAMONADA 3 KG SJ,SAN JORGE,MORTADELAS,3687.872596816663
62,1409,MORTADELA JAMONADA 250 GRS. SJ,SAN JORGE,MORTADELAS,4223.568285642097
63,1421,CHORIZO SUREÑO PREMIUM 400 GRS.SJ,SAN JORGE,PARRILLEROS,4194.217076616594
64,1429,CHORIZO SUREÑO 10x250 GR SJ,SAN JORGE,PARRILLEROS,4095.5411945885226
65,1433,CHORIZO PARRILLERO SJ 800 G.,SAN JORGE,PARRILLEROS,3389.3254639458833
66,1434,CHORIZO PARRILLERO SJ 400 GR,SAN JORGE,PARRILLEROS,2658.255487176063
67,1436,CHORIZO PARRILLERO SJ 200 GR,SAN JORGE,PARRILLEROS,3862.899173126615
68,1446,LONGANIZA SJ 800 GR.,SAN JORGE,PARRILLEROS,3361.5286020485005
69,1680,PECHUGA DE POLLO ACARAMELADO SJ,SAN JORGE,JAMON G2,6749.85683436234
70,1695,PECHUGA DE POLLO COCIDA 3 KG SJ,SAN JORGE,JAMON G2,6705.204916850306
71,1831,JAMON ARTESANAL G2 SJ,SAN JORGE,JAMON G2,5182.122431706312
72,1834,JAMON COLONIAL SJ,SAN JORGE,JAMON G1,6277.026197355176
73,2271,PAPAS DUQUESAS 5X1 KG SJ,SAN JORGE,HORTALIZAS,3107.46487478993
74,2272,PAPAS PRE-FRITAS SAN JORGE,SAN JORGE,HORTALIZAS,2037.5214670292635
75,2288,PAPAS FRITAS 10x1 KG SJ,SAN JORGE,HORTALIZAS,1898.426019537698
77,2708,ARVEJAS 10x200 GR SJ,SAN JORGE,HORTALIZAS,2745.9066938259816
78,2709,CHOCLO 10x200 GR SJ,SAN JORGE,HORTALIZAS,2745.495133568833
79,2710,MIX PRIMAVERA POROTO VERDE 10X200 GR SJ,SAN JORGE,HORTALIZAS,2745.931016005693
81,3001,JAMON PIERNA LP,LA PREFERIDA,JAMON G1,6866.141208361156
82,3003,JAMON SANDWICH DE PAVO LP,LA PREFERIDA,JAMON G2,8153.368870308461
83,3004,JAMON PIERNA 1/2 PZA LP,LA PREFERIDA,JAMON G1,6998.280671499813
84,3011,JAMON PIERNA MINI PZA LP,LA PREFERIDA,JAMON G1,7139.145076865338
85,3012,JAMON COCIDO DE PAVO LP,LA PREFERIDA,JAMON G1,6412.423798607573
86,3014,JAMON ACARAM DE PAVO LP,LA PREFERIDA,JAMON G1,7834.656256563409
87,3017,PECHUGA DE PAVO COCIDA LP,LA PREFERIDA,JAMON G2,8206.929514435384
88,3018,PECHUGA DE PAVO ACARAM LP,LA PREFERIDA,JAMON G2,8153.915785693299
89,3019,PECHUGA DE PAVO AHUM LP,LA PREFERIDA,JAMON G2,8198.562629980695
90,3022,PECHUGA PAVO AHUM CP 10x125 GR,LA PREFERIDA,JAMON G2,14232.243258328974
91,3023,PECHUGA PAVO ACARAM CP 10x125 GR,LA PREFERIDA,JAMON G2,14378.111541108987
92,3027,ARROLLADO HUASO LP,LA PREFERIDA,ARROLLADOS,6616.69228766281
93,3032,SALCHICHON CERVEZA LP,LA PREFERIDA,MORTADELAS,4912.854238859075
94,3034,SALAME 10x100 GR LP,LA PREFERIDA,SALAMES,11254.012789643843
95,3038,SALAME 500 GR LP,LA PREFERIDA,SALAMES,8092.644692684024
96,3044,SALAME PIEZA LP,LA PREFERIDA,SALAMES,8089.163809004448
97,3048,MORTADELA JAMONADA CENTENARIO MERKÉN LP,LA PREFERIDA,MORTADELAS,4617.45760561785
98,3049,MORTADELA JAMONADA LP 150 G.,LA PREFERIDA,MORTADELAS,5373.99582498606
99,3050,PECHUGA COCIDA PAVO CT 10x125 G. LP,LA PREFERIDA,JAMON G2,14264.784566289527
100,3052,PECHUGA DE POLLO COCIDA CP 10x125 G.LP,LA PREFERIDA,JAMON G2,6058.413333333333
101,3053,SALCHICHÓN CERVEZA LP 150 G.,LA PREFERIDA,MORTADELAS,5949.9523576116435
102,3054,SALCHICHA SUREÑA 12x250 GR LP,LA PREFERIDA,VIENESAS,4521.662108745853
103,3057,PECHUGA POLLO ACARAMELADA CP 10 125 G LP,LA PREFERIDA,JAMON G2,5777.584523809524
104,3058,VIENESA SIN PIEL 10x380 GR LP,LA PREFERIDA,VIENESAS,4181.149883907095
105,3071,PATE TERNERA 160 Gr.(x10),LA PREFERIDA,PATE,4798.556625154003
106,3074,SALCHICHON TE 160 Gr.(x10),LA PREFERIDA,PATE,4778.109981473877
107,3080,PATE TEEWURST 16x125 GR LP,LA PREFERIDA,PATE,7140.4641818912805
108,3095,TOCINO HORECA 4x500 R LP,LA PREFERIDA,TOCINOS,8692.165390791111
109,3097,TOCINO DOS TROZOS LP,LA PREFERIDA,TOCINOS,8206.107494790034
110,3108,JAMON PIERNA CP 8x250 GR LP,LA PREFERIDA,JAMON G1,7700.97160328069
111,3109,JAMON SANDWICH LP,LA PREFERIDA,JAMON G2,5400.866527785574
112,3142,PASTA POLLO CIBOULETTE 16x125GR LP,LA PREFERIDA,PATE,4585.346902182802
113,3144,PASTA POLLO PIMENTON 16x125 GR LP,LA PREFERIDA,PATE,4507.945643884917
114,3145,PASTA SALAME 16x125 GR LP,LA PREFERIDA,PATE,4632.3352905921265
115,3146,PASTA POLLO CIBOULETTE 8x125 GR LP,LA PREFERIDA,PATE,4835.786326303166
116,3148,PASTA POLLO PIMENTON 8x125 GR LP,LA PREFERIDA,PATE,4820.410327257494
117,3149,PASTA SALAME 8x125 GR LP,LA PREFERIDA,PATE,4832.85021793848
118,3153,JAMON PIERNA CP 10x125 GR LP,LA PREFERIDA,JAMON G1,9237.647062723074
119,3154,PECHUGA COCIDA PAVO CP 10x125 GR LP,LA PREFERIDA,JAMON G2,14352.433783415028
120,3191,CHURRASCO LP 90 G.,LA PREFERIDA,CARNES,9318.793215065758
121,3201,JAMON PIERNA 10x200 GR LP,LA PREFERIDA,JAMON G1,9018.290637901995
122,3239,JAMON CENTENARIO COLONIAL MINI PZA LP,LA PREFERIDA,JAMON G1,6994.612794294146
123,3243,JAMON CENTENARIO ACARAM MINI PIEZA,LA PREFERIDA,JAMON G1,6971.0428442558405
124,3248,MORTADELA LISA LP,LA PREFERIDA,MORTADELAS,3127.681757231577
125,3256,JAMON PIERNA ARTESANAL LP,LA PREFERIDA,JAMON G1,7082.700195673298
126,3288,TOCINO CORTADO 10x180 GR LP,LA PREFERIDA,TOCINOS,10036.645167073264
127,3300,PECHUGA PAVO COCIDA CP 8x250 GR LP,LA PREFERIDA,JAMON G2,12460.733232045255
128,3309,SALAMIN TRADICIONAL 200 G LP,LA PREFERIDA,SALAMES,9014.795117355088
129,3313,MORTADELA JAMONADA CENTENARIO LP,LA PREFERIDA,MORTADELAS,4409.746474887652
130,3323,LOMO KASSLER LP 100 G.,LA PREFERIDA,JAMON G1,14501.913650793651
131,3337,ARROLLADO HUASO CON AJI LP,LA PREFERIDA,ARROLLADOS,6471.452502084275
132,3456,"SALAME LAMINADO 1,6 KG LP",LA PREFERIDA,SALAMES,8073.072182299063
133,3460,SALAME LAMINADO 200 GR.LP,LA PREFERIDA,SALAMES,8636.520391470533
134,3519,SALCHICHA SUREÑA 8x500 GR LP,LA PREFERIDA,VIENESAS,4160.090800245615
135,3536,SALCHICHA SUREÑA LP 750 G.,LA PREFERIDA,VIENESAS,3528.454025380542
136,3581,VIENESA SIN PIEL 10x760 GR LP,LA PREFERIDA,VIENESAS,3743.267863193153
137,3599,JAMON COLONIAL CP 10x125 GR LP,LA PREFERIDA,JAMON G1,9659.503948909434
138,3600,JAMON ACARAMELADO CP 10x125 GR LP,LA PREFERIDA,JAMON G1,9665.4348888678
139,3607,LONGANICILLA DE CAMPO AL MERKÉN LP 280 G,LA PREFERIDA,PARRILLEROS,5490.473062572024
140,3638,LONGANICILLA SUREÑA LP 280 G.,LA PREFERIDA,PARRILLEROS,5563.946335755345
141,3639,LONGANICILLA DE CAMPO LP 280 GRS.,LA PREFERIDA,PARRILLEROS,5634.020083479697
142,3640,PRIETA 10x400 GR LP,LA PREFERIDA,PARRILLEROS,5541.0293816432295
143,3657,SALCHICHA SUREÑA 17 CM CALIBRE 28 LP,LA PREFERIDA,VIENESAS,4234.157333995602
144,3660,SALCHICHA SUREÑA REDUCIDA EN SODIO 500 G,LA PREFERIDA,VIENESAS,2902.501648749185
145,3661,SALCHICHA SUREÑA 22CM CALIBRE 28 LP,LA PREFERIDA,VIENESAS,4225.449607311627
146,3751,HAMBURGUESA ANGUS 24x100 GR LP,LA PREFERIDA,HAMBURGUESAS,6113.201811724163
147,3752,"HAMBURGUESA PJD 2,4 KG(120x20 UN)",LA PREFERIDA,HAMBURGUESAS,5714.166666666667
148,3789,"HAMBURGUESA HORECA LP 2,712 Kg.",LA PREFERIDA,HAMBURGUESAS,5716.726848985425
149,3807,CAJA HAMBURGUESA VACUNO 4x10X100 GR LP,LA PREFERIDA,HAMBURGUESAS,2714.9166666666665
150,3810,CAJA HAMBURGUESA GRILL TASTE LP 4X100 G.,LA PREFERIDA,HAMBURGUESAS,2909.0674603174602
152,3850,CHORIZO ANGUS 12x250 GR LP,LA PREFERIDA,PARRILLEROS,6175.7973647001145
153,3851,CHORIZO ANGUS 10x500 GR LP,LA PREFERIDA,PARRILLEROS,5663.9589720274225
154,3852,CHORIZO ANGUS 1000 LP,LA PREFERIDA,PARRILLEROS,4951.14771547466
155,3853,CHORIZO ANGUS MERKEN 10x500GR LP,LA PREFERIDA,PARRILLEROS,5442.15115674589
156,3854,LONGANIZA ANGUS 8x500 GR LP,LA PREFERIDA,PARRILLEROS,5785.764204010554
157,3857,HAMBURGUESA ANGUS 40x100 GR LP,LA PREFERIDA,HAMBURGUESAS,6025.135175930469
158,3858,HAMBURGUESA ANGUS 20x185 GR LP,LA PREFERIDA,HAMBURGUESAS,6203.30145648482
159,3861,HAMBURGUESA ANGUS 4x10x100 GR LP,LA PREFERIDA,HAMBURGUESAS,5638.842372448979
161,3897,PEPPERONI 10x100 GR LP,LA PREFERIDA,SALAMES,11261.157352002516
162,3899,HAMBURGUESA GRILL TASTE LP 20X185 G.,LA PREFERIDA,HAMBURGUESAS,5835.555391777613
163,3907,PECHUGA DE POLLO COCIDA LP,LA PREFERIDA,JAMON G2,7512.892801718421
164,3908,PECHUGA DE POLLO ACARAMELADO LP,LA PREFERIDA,JAMON G2,7520.966713389723
165,3922,QUESO CABEZA LP,LA PREFERIDA,TIPICOS,4906.922016391114
167,3947,PECHUGA DE POLLO ASADA LP,LA PREFERIDA,JAMON G2,7849.671242103861
168,3948,CHORIZO TIPO ARGENTINO 500 GR.LP,LA PREFERIDA,PARRILLEROS,5719.137846581639
170,3960,TOCINO 10x100 GR LP,LA PREFERIDA,TOCINOS,11984.889948425907
171,3961,TOCINO PARRILLERO 10x180 GR LP,LA PREFERIDA,TOCINOS,10248.74951306231
173,3979,MIX PARRILLERO 500 GR LP,LA PREFERIDA,PARRILLEROS,5796.16369396043
174,3982,PEPPERONI HORECA LP BOLSA 4 X 500G.,LA PREFERIDA,SALAMES,8741.037259350265
176,3985,MOLIDA LP 15X125g.,LA PREFERIDA,CARNES,3638.734640522876
177,3986,CHORIZO ARTESANAL CENTENARIO LP 10X400 G,LA PREFERIDA,PARRILLEROS,6006.437116290019
178,3987,LONGANIZA ARTESANAL CENTENARIO LP 8X400G,LA PREFERIDA,PARRILLEROS,5918.708851471985
179,3988,HAMBURGUESA GRILL TASTE LP 100 G.,LA PREFERIDA,HAMBURGUESAS,4802.324404202762
180,3989,CAJA HAMBURGUESA GRILL TASTE 10x100GR LP,LA PREFERIDA,HAMBURGUESAS,5521.910005157298
181,3991,HAMBURGUESA GRILL TASTE LP 24x100 GR.,LA PREFERIDA,HAMBURGUESAS,5285.279944314149
188,5506,JAMON PLANCHADO 4X500 GR SJ,SAN JORGE,JAMON G2,5577.57836242367
191,6770,QUESO GAUDA LAMINADO 1KG.LOS NOGALES,Los Nogales,QUESOS,7167.757695316044
192,6771,QUESO MANTECOSO LAMINADO 1KG.LOS NOGALES,Los Nogales,QUESOS,7981.22292404013
193,6772,DESPUNTE QUESO MANTECOSO 5 KG,Los Nogales,QUESOS,5751.99676374592
194,6773,DESPUNTE QUESO GAUDA 5 KG,Los Nogales,QUESOS,6265.137219545131
195,6774,QUESO GAUDA BARRA (EU) LOS NOGALES,Los Nogales,QUESOS,6977.057462714233
196,6775,QUESO BARRA CHANCO LOS NOGALES,Los Nogales,QUESOS,7066.682190914309
197,6776,MANTEQUILLA LOS NOGALES 125 GRS,Los Nogales,LACTEOS,9612.28741252362
198,6777,QUESO LAMINADO GAUDA 250 GR LOS NOGALES,Los Nogales,QUESOS,7688.429980212
199,6781,MANTEQUILLA LOS NOGALES 250 G.,Los Nogales,LACTEOS,9214.535407103825
200,6782,QUESO MANTECOSO 250 GR.LOS NOGALES,Los Nogales,QUESOS,8531.18936212166
201,6783,MANTEQUILLA 125 GRS x8 LOS NOGALES,Los Nogales,LACTEOS,9640.902724592817
202,6792,QUESO GAUDA BARRA (ARG) LOS NOGALES,Los Nogales,QUESOS,5176.460594584696
204,8043,BOLOGNA 3 KGS.WIN,WINTER,MORTADELAS,3732.9685582611382
205,8080,CHORIZO WI 800 G.,WINTER,PARRILLEROS,3155.8001215725717
206,8088,CHORIZO DE CAMPO 400 G.WINTER,WINTER,PARRILLEROS,3862.6881470915127
207,8117,COPPA MOLDE C/ALINO WIN,WINTER,TIPICOS,3601.2677597492734
208,8185,JAMON COLONIAL WINTER,WINTER,JAMON G1,5213.179215007371
209,8206,JAMON ACARAMELADO 200 GRS.WINTER,WINTER,JAMON G1,7277.47128273746
210,8207,JAMON PIERNA ARTESANAL 200 GRS.WIN,WINTER,JAMON G2,6379.4469997486785
211,8210,JAMON ACARAM TRADICIONAL WIN,WINTER,JAMON G1,6079.441041212393
212,8213,JAMON PIERNA ARTESANAL WN,WINTER,JAMON G2,4915.614882690279
213,8237,LONGANIZAS 1 KG WIN,WINTER,PARRILLEROS,729.0
214,8284,MORTADELA LISA 3 KGS WI,WINTER,MORTADELAS,2293.165992379928
215,8285,MORTADELA JAMONADA 3 KGS WI,WINTER,MORTADELAS,3189.6365548607164
216,8299,MINI PIEZA JAMON ARTESANAL WINTER,WINTER,JAMON G2,5081.852140934004
217,8300,MINI PIEZA JAMON ACARAMELADO WINTER,WINTER,JAMON G1,6344.196088250197
218,8345,HAMBURGUESA WINTER 100 GRS,WINTER,HAMBURGUESAS,3793.0965723578465
219,8346,HAMBURGUESAS  50x48 WIN,WINTER,HAMBURGUESAS,3817.9565419350906
220,8403,FIAMBRE SANDWICH WI,WINTER,FIAMBRES,3144.536059426753
221,8451,SALCHICHA SUREÑA WINTER 1 KG,WINTER,VIENESAS,2265.2942456636024
222,8453,SALCHICHA DE POLLO 1 KG WIN,WINTER,VIENESAS,2052.161314146876
223,8454,SALCHICHA TRADICIONAL 1 KG,WINTER,VIENESAS,2116.457620379015
224,8463,QUESO CABEZA WIN,WINTER,TIPICOS,2680.0453149105347
225,8508,"SALCHICHON CERVEZA 1,6 KGS.WIN",WINTER,MORTADELAS,3935.7756723023153
226,8516,SALCHICHON CERVEZA 250 GRS.WIN,WINTER,MORTADELAS,4214.009801451621
227,8517,SALCHICHON CERVEZA MINI PZA 8x400 GR WI,WINTER,MORTADELAS,1858.8035714285713
228,8630,JAMON AHUMADO WINTER,WINTER,JAMON G1,6043.762219383143
229,8753,SALCHICHA CONVENIENTE 25 UN/1 KG.WIN,WINTER,VIENESAS,2395.8696984031567
230,8777,SALCHICHA TRADICIONAL 12x250 GR WN,WINTER,VIENESAS,2583.5747060368412
231,8798,BOLSA HAMBURGUESA WINTER 10x50 GR.,WINTER,HAMBURGUESAS,3875.351200618419
232,8991,QUESO CREMA WINTER(CJ 15X100GRS),WINTER,QUESOS,5805.0379485192
