,id_descuento,ROP,Incremento Demanda Total (kg),Incremento Rentabilidad Total ($),Costo Promoción ($)
0,70,18.108988042704116,5406.111111111111,9382013.179092405,518086.0
1,71,4.194370514827185,4257.777777777777,7389142.84293127,1761681.0
2,72,14.228004587291604,23605.0,40965199.66770705,2879195.0
3,86,7.765343604442391,12911.42857142857,22407085.338865027,2885524.0
4,87,3.2331058115877864,15875.0,27550203.123272583,8521281.0
5,88,5.304258976175948,59538.57142857143,103325967.65521994,19479812.0
6,101,0.6827302009977021,1219.5,2116376.233627149,3099872.0
7,102,0.10136179432006513,401.0,695913.7922792006,6865642.0
8,103,-11.99498818593712,-118821.0,-206207413.2478974,17191131.0
9,104,-703.6768053018691,-1873.3333333333335,-2392501.138026355,3400.0
10,105,,,,0.0
11,106,,-6936.0,-8858214.177945264,0.0
12,107,,-2312.0,-2952738.0593150877,0.0
13,108,,,,0.0
14,141,5.862364230792735,5498.0,7169571.794067591,1222983.0
15,142,13.345050882244857,29606.0,38607192.16718172,2892997.0
16,146,4.384616696748357,21766.883720930233,28384728.186673414,6473708.0
17,147,6.19583804155046,77743.95348837209,101380657.70999184,16362703.0
18,151,-1.3791427779141714,-1973.7142857142844,-2573787.972427319,1866223.0
19,152,-20.64418049392722,-74692.57142857142,-97401555.71856394,4718112.0
20,233,-4.377027145943817,-871.7684375000003,-2440612.3907669736,557595.8999999999
21,236,-7.17774937208884,-40984.82944444445,-114741573.87761833,15985731.450000001
22,239,-6.917560859302311,-15921.849166666674,-44574981.94305695,6443742.649999999
23,408,4.299030766423192,2288.3428571428567,4595446.35834961,1068949.4
24,409,15.619741134656547,18690.742857142854,37534719.03460663,2403030.8
25,411,3.460017787537363,4945.6,9931745.777916448,2870432.0
26,412,7.436645079334746,36760.0,73821371.48095451,9926703.6
27,414,-1.2903541977018311,-175.33333333333326,-352104.1113436895,272874.0
28,415,-8.671101023091042,-4662.0,-9362220.724815287,1079703.8
29,416,-53.73263598748784,-727.6,-941385.0359735896,17519.800000000003
30,417,,,,0.0
31,418,,-892.0,-1154089.4063887328,0.0
32,419,-26258.788857481377,-18103.600000000002,-23422839.660873387,892.0
33,420,,,,0.0
34,421,-9.579907896912228,-3994.8010000000013,-8943732.289987583,933592.7220000001
35,422,-414.95797143961374,-516.0,-1155242.9924878846,2784.0
36,423,-32.35486321579908,-855.0,-1914210.7724363208,59163.0
37,424,-29.2533612009109,-1233.0,-2760493.429723957,94365.0
38,425,,,,0.0
39,432,3.193876844321699,701.6,1178534.1678010183,368998.0
40,433,12.855807009224758,10696.8,17968278.629039243,1397678.0
41,435,2.48770051807957,2090.4,3511413.660734391,1411509.8
42,436,5.960133482328792,28060.0,47134647.58907722,7908320.8
43,438,-0.20625688282934587,-34.5333333333333,-58008.428251703415,281243.6
44,439,-3.2031124523509433,-2313.199999999999,-3885668.8098023296,1213091.6
45,527,4.5393164936597845,2363.1383962264154,5687474.412095064,1252936.3
46,528,18.28855960973265,19420.785924528303,46740903.19251359,2555745.46
47,532,2.484105297254969,8805.82777777778,21193392.754060496,8531600.0
48,533,0.2114990382786419,1413.4498518518521,3401815.0938701006,16084305.259999998
49,537,0.2877836915251821,390.8179999999993,940599.7458022751,3268426.159999999
50,538,-4.865877061603824,-18650.351000000002,-44886661.84700619,9224783.379999999
51,559,0.1512773204347974,74.0,138270.7989784544,914022.0
52,560,-0.5815915391470814,-692.6666666666679,-1294264.5057532885,2225384.0
53,562,-3.025065893178425,-4736.0,-8849331.134621108,2925335.0
54,563,-9.058101277734107,-57072.0,-106640419.44997804,11772933.0
55,565,,-120.0,-224222.91726235917,0.0
56,566,,-1340.0,-2503822.5760963443,0.0
57,621,-25.62178052412754,-17.29953917050691,-63567.63748036043,2481.0
58,623,,-45.391304347826086,-166791.60936624923,0.0
59,624,-31.210802483655826,-180.7826086956522,-664290.7200621306,21284.0
60,625,-6.243517783205775,-151.8210862619808,-557870.8009650024,89352.0
61,627,-4.927851822634351,-49.92857142857143,-183463.9233566769,37230.0
62,628,-31.96348124632246,-320.25,-1176767.5255646077,36816.0
63,709,,,,0.0
64,710,,,,0.0
65,711,,,,0.0
66,712,,,,0.0
67,713,,,,0.0
68,714,-286.4319728550134,-1052.544230769231,-3518687.892136064,12284.550000000032
69,715,,-85.05,-284324.77845369105,0.0
70,716,5.21826379762937,218.75,731288.0104261597,140140.1
71,717,-18.155779010970228,-204.75000000000006,-684485.5777588858,37700.700000000026
72,718,,,,0.0
73,826,3.954845325025244,2389.3791054687504,9920379.948821774,2508411.615
74,833,,-34.8694716981132,-144773.34595763445,0.0
75,834,4.452866776344017,1179.0542641509433,4895274.363906839,1099353.4300000002
76,835,8.833180126965347,2896.1433018867924,12024396.578673434,1361276.0530000008
77,847,3.9428166686062007,3908.498827586207,16002743.361215375,4058708.4580000015
78,854,,-36.34515763546798,-148809.62121779812,0.0
79,855,4.342972717095391,1206.1927438423643,4938569.454756686,1137140.3360000001
80,856,7.616915333185016,2376.4733940886704,9730102.401960779,1277433.4460000007
81,868,4.908441616956207,2897.4230860655734,12330541.883547142,2512109.31
82,875,,-23.149601063829788,-98517.58511821995,0.0
83,876,5.311977506344519,1146.2597712765955,4878129.1855943175,918326.4010000001
84,877,10.958538982957311,2848.8834946808515,12123972.305407861,1106349.3340000003
85,941,-2.168382317616731,-502.51062670299734,-3198051.671430941,1474856.0
86,942,0.17429338414241904,59.185831062670104,376667.34969740734,2161111.0
87,944,2.1868042750146013,87.69315068493151,558092.1322222013,255209.0
88,945,14.857830252385865,87.56438356164384,557272.6392762366,37507.0
89,946,3.875874218370881,190.25753424657535,1210826.9816932816,312401.0
90,947,10.081677731701722,3856.519178082192,24543456.29323517,2434461.5
91,948,-7.391477326319508,-20.372549019607842,-129653.9037809705,17541.0
92,949,-3.044762174665432,-14.496732026143789,-92259.33865453725,30301.0
93,951,-13.49113925804559,-19.428571428571427,-123646.29129998785,9165.0
94,952,,-8.142857142857142,-51822.34267720079,0.0
95,953,-23.063896158055883,-26.57142857142857,-169104.48663086572,7332.0
96,954,-158.83719455732668,-1170.7857142857142,-7451052.796684194,46910.0
97,959,0.7060879645325387,4.0,25456.58938529162,36053.0
98,960,-1.2092605065612272,-67.375,-428784.4274585062,354584.0
99,962,-1.6837482231160534,-36.0,-229109.30446762452,136071.0
100,963,-6.280867303561401,-2504.125,-15936620.473610843,2537328.0
101,965,-8.255563047043713,-13.57777777777778,-86410.97841340656,10467.0
102,966,-25.44305908997388,-666.9333333333334,-4244462.0035076225,166822.0
103,1019,-182.9369349812577,-1750.5,-4552934.437813542,24888.0
104,1021,-62.815376979792916,-5253.9,-13665045.55431509,217543.0
105,1023,-420.45621061243844,-1572.75,-4090618.4730484136,9729.0
106,1033,-57.10305617602495,-67.59615384615384,-349385.04921300866,6118.5
107,1034,,-70.0,-361809.8375918497,0.0
108,1035,,-35.0,-180904.91879592484,0.0
109,1036,,-35.0,-180904.91879592484,0.0
110,1037,,,,0.0
111,1038,,-3640720.0,242272252662.3529,0.0
112,1039,,,,0.0
113,1040,,,,0.0
114,1041,,,,0.0
115,1042,,,,0.0
116,1072,,-3640720.0,-30670518140.61854,0.0
117,1073,,,,0.0
118,1074,,,,0.0
119,1075,,-10194016.0,-85877450793.7319,0.0
120,1076,,,,0.0
121,1163,-0.5771817066581127,-278.44444444444434,-1019066.2494584973,1765590.0
122,1164,-1.9873505351883687,-563.7777777777778,-2063344.8323034367,1038239.0
123,1165,-2.7023010159405896,-3956.2222222222226,-14479199.073511273,5358100.0
124,1173,0.16012463349648276,226.76923076923094,829942.4682495203,5183103.0
125,1174,0.21118586759264568,228.92307692307713,837825.2325341152,3967241.0
126,1175,0.37893006241212296,2709.384615384617,9915954.41542897,26168297.0
127,1182,-1.9098147292691396,-626.0,-2291069.133858409,1199629.0
128,1183,-2.569732604324992,-666.0,-2437463.327715176,948528.0
129,1184,-6.729612837662849,-9700.0,-35500592.01026607,5275280.0
130,1249,-110.03688107707663,-552.4324324324325,-1692477.2678465156,15381.0
131,1252,-136.40743194978228,-659.0,-2018966.4002887274,14801.0
132,1253,-11.195447368048749,-228.5,-700051.3239240883,62530.0
133,1254,-238.3537424534517,-17926.0,-54919562.50618471,230412.0
134,1255,-6.629552486394381,-64.0,-196075.6443376002,29576.0
135,1256,-165.79284420325862,-1260.433870967742,-6081488.766430781,36681.25000000001
136,1257,,,,0.0
137,1258,-729.8489680242757,-176.15,-849909.123264269,1164.5
138,1259,,,,0.0
139,1260,-1.4459727314287378,-21.96363636363637,-68361.25282375644,47277.0
140,1261,-23.167881135425354,-160.98181818181817,-501051.76531584415,21627.0
141,1264,1.4191639615756069,43.38095238095238,135022.0976322264,95142.0
142,1266,-0.8636493568762081,-29.61904761904762,-92188.52330103709,106743.0
143,1275,-3.7535061155028613,-33.51086956521739,-88537.7022524815,23588.0
144,1276,-31.004278009769816,-138.41304347826087,-365695.459125235,11795.0
145,1279,-0.09988742408896716,-1.7872340425531945,-4721.978198957744,47273.0
146,1281,-2.170254213794594,-58.212765957446805,-153801.57562319527,70868.0
147,1290,-4.3801208867092845,-38.384905660377356,-129607.77703772773,29590.0
148,1291,-13.62985207801224,-142.85283018867926,-482346.83518877515,35389.0
149,1294,0.8906613638115298,31.68421052631578,106982.68037558571,120116.0
150,1296,-6.698877198073944,-156.21052631578948,-527449.4939447482,78737.0
151,1305,-1.1022044989354736,-511.0684691011238,-1618448.428919877,1468374.0
152,1306,-13.120326671028348,-4205.179073033708,-13316934.766193708,1014985.0
153,1308,2.7986862737563407,677.4675925925926,2145400.1316184932,766574.0
154,1310,1.6453876531492297,277.4537037037037,878638.6521693418,534001.0
155,1319,-0.7063313640229437,-220.8079353932585,-634048.2375542917,897664.0
156,1320,-11.841840114793536,-2375.113061797753,-6820118.3446735,575934.0
157,1322,2.4422888324241203,369.14427860696514,1059994.8721822195,434017.0
158,1324,1.1724993649535964,126.06965174129354,362008.0064300579,308749.0
159,1333,-0.5264061240130491,-256.54999999999995,-873330.3952009811,1659043.0
160,1334,-11.842090811586798,-3929.8999999999996,-13377903.411032302,1129691.0
161,1336,3.064748572454975,628.1111111111111,2138173.942298945,697667.0
162,1338,1.9376692462958893,269.44444444444446,917224.8027728536,473365.0
163,1494,-6.110869135829362,-818.0,-1660977.0072023715,271807.0
164,1496,,-462.0,-938106.818248772,0.0
165,1498,-85.07131213847634,-1274.1000000000001,-2587103.6734432043,30411.0
166,1499,-24.613769071797066,-2170.108695652174,-4406480.00807847,179025.0
167,1500,-61.67311784706478,-1700.4545454545453,-3452831.175785769,55986.0
168,1566,3.4342615652011035,1391.8235294117649,3446508.1419426105,1003566.0
169,1577,-219853.72254211706,-3495267.8,-6242306744.1383295,28393.0
170,1578,,-2912774.0,-5202013071.602347,0.0
171,1579,-2796777.3805799866,-3640962.5,-6502507409.848469,2325.0
172,1580,-573112.1446306375,-11651057.0,-20807982635.104557,36307.0
173,1581,,,,0.0
174,1582,8.469747283705024,5975.976702127659,16640153.413359167,1964657.605
175,1583,-3345.055334096555,-404.59499999999997,-1126597.9112470495,336.7950000000001
176,1584,-58.271209297561796,-808.1850000000001,-2250397.3922099797,38619.37000000001
177,1585,-67.84071072218859,-1105.15,-3077298.7348204423,45360.64999999998
178,1586,,,,0.0
179,1629,4.63042984443637,1850.785882352941,7839256.604956828,1692986.8
180,1630,1.776244330656024,1009.3176470588223,4275102.866651596,2406821.4000000004
181,1646,-0.05500844110318169,-230.4410256410265,-976064.4651194452,17743903.4
182,1647,-60.419262165782854,-209211.5282051282,-886144026.6823944,14666581.399999999
183,1662,0.5724120075116262,607.7833333333328,2574349.3915993734,4497371.4
184,1663,-19.246768215252892,-36486.78333333334,-154544758.50865442,8029647.200000001
185,1839,-977.1535815758941,-369.35999999999996,-623658.5019049967,638.239999999998
186,1840,-358.7944494031688,-5426.400000000001,-9162390.336628968,25536.60000000002
187,1841,,,,0.0
188,1842,,,,0.0
189,1843,,,,0.0
190,1849,,-1022.868,-1791355.4225132482,0.0
191,1850,-27.692248257448398,-28492.695000000007,-49899443.22265055,1801928.2059999977
192,1851,,,,0.0
193,1852,,,,0.0
194,1853,,,,0.0
195,1901,,,,0.0
196,1902,,,,0.0
197,1903,,,,0.0
198,1904,,,,0.0
199,1905,,,,0.0
200,1906,0.8039894740982879,102.96043689320388,544078.9728696898,676724.0
201,1908,0.9527077733691318,47.09154929577465,248848.2231117906,261201.0
202,1911,,,,0.0
203,1912,-84.28129783681017,-289.0,-1527177.1168030002,18120.0
204,1913,-15.975173918823488,-484.0,-2557625.3444036404,160100.0
205,1914,,,,0.0
206,1915,0.45452504324717813,21.24255319148935,80422.11576700862,176936.59999999992
207,1916,-5.555850283659086,-52.20000000000002,-197623.81692986688,35570.39999999995
208,1917,-1.7290240029183248,-18.678260869565207,-70713.96947615419,40898.199999999975
209,1918,-5004179.330334586,-28645411.2,-108448572775.27885,21671.59999999997
210,1919,-50.205901597927024,-10.799999999999999,-40887.68626135175,814.3999999999996
211,1920,,,,0.0
212,1921,,,,0.0
213,1922,,,,0.0
214,1923,,-27.599999999999998,-104490.75377901005,0.0
215,1924,,-9.6,-36344.61001009045,0.0
216,1925,,-3495208.8,-13232500077.066275,0.0
217,1926,,-55.199999999999996,-208981.5075580201,0.0
218,1927,,-19.2,-72689.2200201809,0.0
219,1928,,-6990417.6,-26465000154.13255,0.0
220,1929,,,,0.0
221,1930,,,,0.0
222,1931,,,,0.0
223,2015,1.932337376335865,4250.129415929204,46904805.01327313,24273610.596000016
224,2016,2.1059737317715017,5519.309415929203,60911588.00760479,28923242.056000017
225,2024,2.61195909826114,851.4418309859157,9396587.528101727,3597524.7600000016
226,2026,2.6444677981583036,938.1558309859154,10353570.91940199,3915181.318000002
227,2037,,,,0.0
228,2058,-47.75665880105753,-691.9000000000001,-2078493.9583349095,43522.600000000064
229,2059,-25.623285101929856,-1499.2400000000002,-4503774.074424092,175768.80000000013
230,2060,-86.50409060121501,-1687.1999999999998,-5068413.074870152,58591.600000000035
231,2066,5.415345249472347,1586.5075000000006,6325898.999590688,1168143.25
232,2067,,-1470.0,-5861347.349065987,0.0
233,2068,-99.70853634526868,-635.8,-2535132.411249085,25425.43
234,2069,-10.163405850242453,-1515.8199999999997,-6044045.944667485,594687.0599999999
235,2070,,,,0.0
236,2071,4.128890398321513,1234.7830000000004,5090318.63024323,1232853.9
237,2072,-33.445079289290724,-1431.72,-5902179.564580848,176473.78000000003
238,2073,-127.79276056734939,-1048.3400000000001,-4321718.579563523,33818.17999999999
239,2074,-23.50422128120411,-2831.898,-11674329.131797682,496690.7430000001
240,2075,,,,0.0
241,2076,,,,0.0
242,2077,,,,0.0
243,2078,,,,0.0
244,2079,,,,0.0
245,2080,,,,0.0
246,2086,10.580632452284851,7073.795081967213,18654734.237888325,1763102.0
247,2089,,-2772.0,-7310209.400785426,0.0
248,2090,-131.6453596764354,-928.5,-2448603.689981698,18600.0
249,2091,-54.85595096162709,-4294.645161290322,-11325669.347439451,206462.0
250,2092,,,,0.0
251,2093,-2.6535559785348055,-28.444444444444457,-610218.6320694095,229962.60000000053
252,2094,-2357.4723938120983,-32.0,-686495.9610780848,291.2000000000007
253,2095,-170.010028399911,-30.000000000000007,-643589.9635107047,3785.6000000000095
254,2096,-134.0351542584519,-61.800000000000004,-1325795.3248320513,9891.400000000001
255,2097,,,,0.0
256,2136,,-1.3274074074074074,-9354.877343356115,0.0
257,2138,,-70.80585365853659,-499002.8475590201,0.0
258,2140,,-53.76,-378872.5324059226,0.0
259,2202,0.6201990229124142,314.71401869158876,1980936.1457500071,3194033.0
260,2204,1.7331881086032555,238.45652173913044,1500940.9020504192,866000.0
