id_descuento_analisis,ids_descuento_originales,n_ids_descuento_originales,es_descuento_agrupado,cod_sku,tipo_descuento,cod_canal,cod_consolidado,fecha_inicio,fecha_fin,duracion_dias,ROP,Incremento Demanda Total (kg),Margen por kg utilizado ($/kg),Margen incremental bruto ($),Costo Promoción ($),Contribución neta del descuento ($),dias_baseline_usados
1,[3824],1,False,20,binario,CB,32.0,2026-02-02,2026-02-28,27,0.9874268134146971,1553.6525599999986,3058.1935352778423,4751370.215059864,4811870.764,-60500.5489401361,75.0
2,[3825],1,False,20,binario,CB,54.0,2026-02-02,2026-02-28,27,0.31003509772736804,262.3786551724138,3058.1935352778423,802404.7070431709,2588109.2589999996,-1785704.5519568287,29.0
3,"[74649, 74650, 74651]",3,True,20,volumen,CB,32.0,2026-03-02,2026-03-31,30,3.8463326183223994,1597.7914,3058.1935352778423,4886355.33020254,1270393.337,3615961.99320254,75.0
4,"[74652, 74653, 74654]",3,True,20,volumen,CB,54.0,2026-03-02,2026-03-31,30,4.441670757233995,3574.3211724137923,3058.1935352778423,10930965.902482577,2461003.19,8469962.712482577,29.0
5,[3890],1,False,27,binario,CB,32.0,2026-02-02,2026-02-28,27,1.325861355215398,251.67787671232895,3189.571970783341,802744.7012279094,605451.466,197293.2352279094,73.0
6,[3891],1,False,27,binario,CB,54.0,2026-02-02,2026-02-28,27,-11.93669283547025,-1068.9004999999997,3189.571970783341,-3409335.074356298,285618.06200000003,-3694953.136356298,2.0
7,[3912],1,False,30,binario,CB,32.0,2026-02-02,2026-02-28,27,0.20826059361407978,261.31280263157896,2639.396406357165,689708.0722009053,3311755.048,-2622046.975799095,76.0
8,[3913],1,False,30,binario,CB,54.0,2026-02-02,2026-02-28,27,-0.6634108264538542,-331.49225000000024,2639.396406357165,-874939.4533852512,1318850.1279999998,-2193789.581385251,4.0
9,[3601],1,False,102,binario,CB,32.0,2026-02-02,2026-02-28,27,1.004787621132863,534.8605263157897,3281.723013511817,1755264.0982295715,1746900.6000000003,8363.498229571152,76.0
10,[3602],1,False,102,binario,CB,54.0,2026-02-02,2026-02-28,27,-1.8056192325221379,-166.04999999999995,3281.723013511817,-544930.106393637,301796.79999999993,-846726.906393637,4.0
11,[3791],1,False,151,binario,CB,32.0,2025-08-11,2025-08-30,20,,,2126.8513959507413,,0.0,,
12,[3792],1,False,151,binario,CB,54.0,2025-08-11,2025-08-30,20,,,2126.8513959507413,,0.0,,
13,"[74661, 74662, 74663]",3,True,210,volumen,CB,32.0,2026-02-20,2026-03-01,10,-0.773254432900414,-786.5886578947375,2406.746224079438,-1893119.2822918762,2448248.858,-4341368.140291876,76.0
14,"[74664, 74665, 74666]",3,True,210,volumen,CB,32.0,2026-03-02,2026-03-14,13,1.7753810424877297,3064.868644736838,2406.746224079438,7376361.038019849,4154804.440000001,3221556.598019848,76.0
15,"[74667, 74668, 74669]",3,True,210,volumen,CB,32.0,2026-03-16,2026-03-31,16,0.4681485387440657,578.7359473684191,2406.746224079438,1392870.5560679734,2975274.813,-1582404.2569320267,76.0
16,"[74670, 74671, 74672]",3,True,210,volumen,CB,54.0,2026-02-20,2026-03-01,10,4.096241935475921,3793.8706315789477,2406.746224079438,9130883.817198506,2229088.018,6901795.7991985055,38.0
17,"[74673, 74674, 74675]",3,True,210,volumen,CB,54.0,2026-03-02,2026-03-14,13,4.320221461464735,7601.9389210526315,2406.746224079438,18295937.79392594,4234953.683999999,14060984.10992594,38.0
18,"[74676, 74677, 74678]",3,True,210,volumen,CB,54.0,2026-03-16,2026-03-31,16,5.272129921965341,8655.988210526315,2406.746224079438,20832766.94136034,3951489.6729999995,16881277.26836034,38.0
19,"[74685, 74686, 74687]",3,True,215,volumen,CB,32.0,2026-03-16,2026-03-31,16,-9.815848324309473,-763.4074736842103,2480.062178839183,-1893298.0025273785,192881.75,-2086179.7525273785,76.0
20,"[74688, 74689, 74690]",3,True,215,volumen,CB,54.0,2026-03-16,2026-03-31,16,2.5050366349880027,198.0,2480.062178839183,491052.3114101582,196026.0,295026.3114101582,22.0
21,"[74698, 74699, 74700]",3,True,217,volumen,CB,32.0,2026-03-16,2026-03-31,16,-0.6575224356433863,-108.79365079365084,1868.5243105196598,-203283.5813381232,309166.0,-512449.5813381232,63.0
22,"[74701, 74702, 74703]",3,True,217,volumen,CB,54.0,2026-03-16,2026-03-31,16,2.4289997710629496,748.0,1868.5243105196598,1397656.1842687055,575404.0,822252.1842687055,4.0
23,[621],1,False,253,base,CB,32.0,2025-04-29,2025-05-04,6,,-22.476190476190474,3674.5277925514683,-82589.38657544254,0.0,-82589.38657544254,63.0
24,[623],1,False,253,base,CB,54.0,2025-04-29,2025-05-04,6,,-54.375,3674.5277925514683,-199802.44871998607,0.0,-199802.44871998607,32.0
25,[624],1,False,253,base,CB,54.0,2025-05-05,2025-06-08,35,,-317.1875,3674.5277925514683,-1165514.2841999189,0.0,-1165514.2841999189,32.0
26,"[74876, 74877, 74878]",3,True,265,volumen,CB,32.0,2026-03-02,2026-03-31,30,-4.709628016814042,-525.9473684210525,1970.0035134877094,-1036118.1636990892,220000.0,-1256118.163699089,76.0
27,"[74879, 74880, 74881]",3,True,265,volumen,CB,54.0,2026-03-02,2026-03-31,30,4.3944648105349104,1056.7241379310344,1970.0035134877094,2081750.2645114083,473721.0,1608029.2645114083,29.0
28,[4295],1,False,399,binario,CB,32.0,2025-12-01,2025-12-27,27,,-35604.82894736842,1954.82361180666,-69601160.32065305,0.0,-69601160.32065305,76.0
