,cod_sku,nombre_sku,nombre_marca,nombre_familia,precio_real
0,20,ARROLLADO LOMO CON AJI SJ,SAN JORGE,ARROLLADOS,4883.433699015215
1,27,ARROLLADO LOMO SIN AJI SJ,SAN JORGE,ARROLLADOS,4863.333772383707
2,30,ARROLLADO HUASO CON AJI SJ,SAN JORGE,ARROLLADOS,4890.3943120255035
3,102,ARROLLADO LOMO CON AJI 12x150 GR SJ,SAN JORGE,ARROLLADOS,5617.518201842225
4,151,CHORIZO 12X250 GR SJ,SAN JORGE,PARRILLEROS,3560.353334549141
5,210,FIAMBRE SANDWICH SJ,SAN JORGE,FIAMBRES,3599.4471139260963
6,215,FIAMBRE JAMON SANDWICH 12x250 GR SJ,SAN JORGE,FIAMBRES,4122.068770722484
7,217,FIAMBRE SANDWICH 4x500 GR SJ,SAN JORGE,FIAMBRES,3848.7163024862816
8,253,JAMON PAVO AHUM 4x500 GR SJ,SAN JORGE,JAMON G1,9038.184648416533
9,254,JAMON PIERNA 4x500 GR SJ,SAN JORGE,JAMON G1,6591.720957925123
10,265,JAMONADA DE AVE 3 KGS.SJ,SAN JORGE,MORTADELAS,3718.121595567268
11,282,LONGANIZA SUREÑA SJ 400 G.,SAN JORGE,PARRILLEROS,4473.291148820905
12,399,MORTADELA LISA 3 KG SJ,SAN JORGE,MORTADELAS,2683.453697506886
13,403,MORTADELA LISA MINI PZA 8X400 GR SJ,SAN JORGE,MORTADELAS,2306.8236062046562
14,410,PATE AVE 16X125 GR SJ,SAN JORGE,PATE,3706.4849160967947
15,421,PATE TERNERA 8x125 GRS.SJ,SAN JORGE,PATE,3841.993504272051
16,422,PATE SABOR AVE 8x125 GRS.SJ,SAN JORGE,PATE,3817.2429192865056
17,423,PATE JAMON 8x125 GRS.SJ,SAN JORGE,PATE,3832.6609391794304
18,430,PATE TERNERA 16X125 GR SJ,SAN JORGE,PATE,3819.1011756809007
19,440,PASTA  JAMON 16x125 GR SJ,SAN JORGE,PATE,3755.4576530016357
20,552,ARROLLADO LOMO 4x500 GR SJ,SAN JORGE,ARROLLADOS,4642.677203065135
21,604,SALAME ITALIANO 15x100 GRS.SJ,SAN JORGE,SALAMES,11311.339110286539
22,606,SALAME AHUMADO 15x100 GRS.SJ,SAN JORGE,SALAMES,10999.942827980152
23,616,SALAME ITALIANO 80 GR. SJ,SAN JORGE,SALAMES,5550.441798941799
24,617,SALAME AHUMADO 80 GR. SJ,SAN JORGE,SALAMES,5716.184274789538
25,618,SALAME AHUMADO SAN JORGE 150 G.,SAN JORGE,SALAMES,9703.945578231293
26,619,SALAME ITALIANO SAN JORGE 150 G.,SAN JORGE,SALAMES,7890.720538720539
27,677,HAMBURGUESA BRONTO SJ 4x185 G.,SAN JORGE,HAMBURGUESAS,2979.383371858701
28,689,HAMBURGUESA BRONTO 20x185 GR SJ,SAN JORGE,HAMBURGUESAS,3833.7173021825984
29,710,HAMBURGUESA 24x90 GR SJ,SAN JORGE,HAMBURGUESAS,3836.0263125963097
30,716,BOLSA HAMBURGUESA 10X90 GR SJ,SAN JORGE,HAMBURGUESAS,3891.202006879348
