Cod Cliente,cluster,cluster_agrupado
235,6,Charcutería colonial/salchichón
499,6,Charcutería colonial/salchichón
547,3,Queso gauda + básicos
665,2,Mortadelas + básicos
1012,5,Salame chico / comida rápida
1144,6,Charcutería colonial/salchichón
1158,6,Charcutería colonial/salchichón
1284,6,Charcutería colonial/salchichón
1327,6,Charcutería colonial/salchichón
1542,2,Mortadelas + básicos
1696,10,Sin un comportamiento claro
1791,11,Básica vienesa-paté
1793,11,Básica vienesa-paté
1932,3,Queso gauda + básicos
1965,13,Formato chico paté-salame-lácteos
2094,6,Charcutería colonial/salchichón
2237,12,Básica vienesa-paté
2260,3,Queso gauda + básicos
2300,8,Charcutería colonial/salchichón
2306,11,Básica vienesa-paté
2364,9,Mortadelas + básicos
2397,2,Mortadelas + básicos
2467,11,Básica vienesa-paté
2529,6,Charcutería colonial/salchichón
2594,9,Mortadelas + básicos
2682,6,Charcutería colonial/salchichón
2741,12,Básica vienesa-paté
2748,9,Mortadelas + básicos
2781,9,Mortadelas + básicos
2804,6,Charcutería colonial/salchichón
2900,12,Básica vienesa-paté
2909,6,Charcutería colonial/salchichón
2947,1,Salame laminado + básicos
2949,6,Charcutería colonial/salchichón
3002,2,Mortadelas + básicos
3116,10,Sin un comportamiento claro
3125,11,Básica vienesa-paté
3193,11,Básica vienesa-paté
3212,6,Charcutería colonial/salchichón
3270,8,Charcutería colonial/salchichón
3370,1,Salame laminado + básicos
3397,8,Charcutería colonial/salchichón
3441,11,Básica vienesa-paté
3465,1,Salame laminado + básicos
3487,1,Salame laminado + básicos
3511,1,Salame laminado + básicos
3517,6,Charcutería colonial/salchichón
3565,11,Básica vienesa-paté
3624,6,Charcutería colonial/salchichón
3652,6,Charcutería colonial/salchichón
3756,6,Charcutería colonial/salchichón
3775,3,Queso gauda + básicos
3798,6,Charcutería colonial/salchichón
3835,10,Sin un comportamiento claro
3889,3,Queso gauda + básicos
3943,6,Charcutería colonial/salchichón
3951,1,Salame laminado + básicos
3972,3,Queso gauda + básicos
4000,6,Charcutería colonial/salchichón
4004,9,Mortadelas + básicos
4066,6,Charcutería colonial/salchichón
4075,12,Básica vienesa-paté
4120,9,Mortadelas + básicos
4234,6,Charcutería colonial/salchichón
4246,11,Básica vienesa-paté
4402,6,Charcutería colonial/salchichón
4521,9,Mortadelas + básicos
4525,6,Charcutería colonial/salchichón
4527,8,Charcutería colonial/salchichón
4528,6,Charcutería colonial/salchichón
4588,9,Mortadelas + básicos
4701,2,Mortadelas + básicos
4728,6,Charcutería colonial/salchichón
4781,6,Charcutería colonial/salchichón
4788,8,Charcutería colonial/salchichón
4821,6,Charcutería colonial/salchichón
4836,6,Charcutería colonial/salchichón
4888,6,Charcutería colonial/salchichón
4918,11,Básica vienesa-paté
4926,9,Mortadelas + básicos
4945,7,Fiambrería tradicional surtida
4978,3,Queso gauda + básicos
5052,6,Charcutería colonial/salchichón
5081,4,Queso gauda + básicos
5200,4,Queso gauda + básicos
5236,12,Básica vienesa-paté
5241,12,Básica vienesa-paté
5357,4,Queso gauda + básicos
5453,3,Queso gauda + básicos
5468,6,Charcutería colonial/salchichón
5488,3,Queso gauda + básicos
5536,1,Salame laminado + básicos
5554,10,Sin un comportamiento claro
5571,6,Charcutería colonial/salchichón
5676,6,Charcutería colonial/salchichón
5695,9,Mortadelas + básicos
5813,12,Básica vienesa-paté
5881,6,Charcutería colonial/salchichón
5884,8,Charcutería colonial/salchichón
5909,12,Básica vienesa-paté
5969,9,Mortadelas + básicos
6003,9,Mortadelas + básicos
6024,12,Básica vienesa-paté
6027,6,Charcutería colonial/salchichón
6099,2,Mortadelas + básicos
6206,6,Charcutería colonial/salchichón
6238,8,Charcutería colonial/salchichón
6363,6,Charcutería colonial/salchichón
6399,9,Mortadelas + básicos
6411,12,Básica vienesa-paté
6415,1,Salame laminado + básicos
6481,8,Charcutería colonial/salchichón
6503,6,Charcutería colonial/salchichón
6533,6,Charcutería colonial/salchichón
6536,8,Charcutería colonial/salchichón
6563,1,Salame laminado + básicos
6565,11,Básica vienesa-paté
6567,11,Básica vienesa-paté
6649,8,Charcutería colonial/salchichón
6768,8,Charcutería colonial/salchichón
6773,3,Queso gauda + básicos
6826,9,Mortadelas + básicos
6882,3,Queso gauda + básicos
6930,6,Charcutería colonial/salchichón
7015,6,Charcutería colonial/salchichón
7049,6,Charcutería colonial/salchichón
7080,3,Queso gauda + básicos
7247,3,Queso gauda + básicos
7259,8,Charcutería colonial/salchichón
7341,10,Sin un comportamiento claro
7356,3,Queso gauda + básicos
7510,4,Queso gauda + básicos
7593,6,Charcutería colonial/salchichón
7645,11,Básica vienesa-paté
7683,6,Charcutería colonial/salchichón
7702,1,Salame laminado + básicos
7729,6,Charcutería colonial/salchichón
7783,6,Charcutería colonial/salchichón
7788,2,Mortadelas + básicos
7862,6,Charcutería colonial/salchichón
7875,6,Charcutería colonial/salchichón
7898,2,Mortadelas + básicos
7899,11,Básica vienesa-paté
7906,6,Charcutería colonial/salchichón
8140,6,Charcutería colonial/salchichón
8223,8,Charcutería colonial/salchichón
8278,1,Salame laminado + básicos
8614,13,Formato chico paté-salame-lácteos
8707,2,Mortadelas + básicos
8713,6,Charcutería colonial/salchichón
8738,3,Queso gauda + básicos
8751,8,Charcutería colonial/salchichón
8758,3,Queso gauda + básicos
8834,6,Charcutería colonial/salchichón
8862,1,Salame laminado + básicos
8915,8,Charcutería colonial/salchichón
8921,1,Salame laminado + básicos
8932,6,Charcutería colonial/salchichón
8963,6,Charcutería colonial/salchichón
8988,12,Básica vienesa-paté
9053,13,Formato chico paté-salame-lácteos
9219,8,Charcutería colonial/salchichón
9255,6,Charcutería colonial/salchichón
9280,3,Queso gauda + básicos
9298,12,Básica vienesa-paté
9624,6,Charcutería colonial/salchichón
9712,8,Charcutería colonial/salchichón
9747,12,Básica vienesa-paté
9764,6,Charcutería colonial/salchichón
9931,6,Charcutería colonial/salchichón
9993,6,Charcutería colonial/salchichón
10016,3,Queso gauda + básicos
10139,6,Charcutería colonial/salchichón
10237,3,Queso gauda + básicos
10243,6,Charcutería colonial/salchichón
10244,10,Sin un comportamiento claro
10275,6,Charcutería colonial/salchichón
10282,6,Charcutería colonial/salchichón
10384,1,Salame laminado + básicos
10400,1,Salame laminado + básicos
10427,11,Básica vienesa-paté
10432,6,Charcutería colonial/salchichón
10433,9,Mortadelas + básicos
10437,8,Charcutería colonial/salchichón
10680,2,Mortadelas + básicos
10737,10,Sin un comportamiento claro
10752,6,Charcutería colonial/salchichón
10772,9,Mortadelas + básicos
10797,8,Charcutería colonial/salchichón
10831,11,Básica vienesa-paté
10836,11,Básica vienesa-paté
10855,6,Charcutería colonial/salchichón
10866,6,Charcutería colonial/salchichón
10994,11,Básica vienesa-paté
11017,6,Charcutería colonial/salchichón
11018,1,Salame laminado + básicos
11063,11,Básica vienesa-paté
11085,6,Charcutería colonial/salchichón
11126,8,Charcutería colonial/salchichón
11169,1,Salame laminado + básicos
11289,11,Básica vienesa-paté
11336,8,Charcutería colonial/salchichón
11386,6,Charcutería colonial/salchichón
11406,8,Charcutería colonial/salchichón
11455,6,Charcutería colonial/salchichón
11505,9,Mortadelas + básicos
11535,11,Básica vienesa-paté
11551,1,Salame laminado + básicos
11596,6,Charcutería colonial/salchichón
11622,2,Mortadelas + básicos
11677,6,Charcutería colonial/salchichón
11683,6,Charcutería colonial/salchichón
11689,8,Charcutería colonial/salchichón
11709,6,Charcutería colonial/salchichón
11746,2,Mortadelas + básicos
11789,8,Charcutería colonial/salchichón
11893,9,Mortadelas + básicos
11970,8,Charcutería colonial/salchichón
11990,6,Charcutería colonial/salchichón
12187,8,Charcutería colonial/salchichón
12225,12,Básica vienesa-paté
12241,11,Básica vienesa-paté
12253,8,Charcutería colonial/salchichón
12258,1,Salame laminado + básicos
12299,1,Salame laminado + básicos
12309,1,Salame laminado + básicos
12335,10,Sin un comportamiento claro
12401,11,Básica vienesa-paté
12446,8,Charcutería colonial/salchichón
12531,1,Salame laminado + básicos
12583,6,Charcutería colonial/salchichón
12589,8,Charcutería colonial/salchichón
12656,13,Formato chico paté-salame-lácteos
12722,6,Charcutería colonial/salchichón
12805,11,Básica vienesa-paté
12883,9,Mortadelas + básicos
12888,11,Básica vienesa-paté
12925,9,Mortadelas + básicos
12944,11,Básica vienesa-paté
13070,6,Charcutería colonial/salchichón
