Cod Cliente,venta_total_clp,dias_entre_compras,recencia,cluster_kmeans
1199536,444016,12.833333333333334,15,15
1178409,1308027,8.6,5,8
1096778,4031626,6.428571428571429,2,14
1151218,1540719,6.0,2,8
1000127,120615,21.0,29,6
1000245,225832,7.0,64,2
1000322,905310,7.777777777777778,22,1
1000332,489860,8.3,9,1
1000336,609141,6.916666666666667,9,1
1000384,239798,13.333333333333334,12,15
1000580,2501883,6.923076923076923,2,8
1000608,2928512,7.5,2,14
1000615,174209,22.5,2,0
1000722,266141,12.833333333333334,15,15
1000781,1394822,7.5,2,8
1000998,516793,11.857142857142858,9,16
1001129,345499,8.3,9,1
1001255,231117,20.75,9,0
1001302,2401903,6.923076923076923,2,8
1001429,1864531,7.5,2,8
1001463,713293,8.3,9,1
10016,2076527,3.6,2,14
1001651,135606,38.5,15,12
1002116,695797,6.916666666666667,9,1
1002464,278454,11.0,15,1
1002518,1761948,3.6,2,8
1002888,723084,7.5,2,8
1002902,1643727,7.818181818181818,6,8
1003366,1485689,8.2,10,1
1003466,2244560,6.923076923076923,2,8
1003678,1229671,7.0,15,1
1003697,509850,11.25,2,16
1003766,398101,13.833333333333334,9,16
1004023,396032,12.833333333333334,15,15
1004025,809906,6.923076923076923,2,8
1004055,850523,11.142857142857142,14,1
1004141,446090,7.7,15,1
1004244,10094476,6.923076923076923,2,11
1004300,489841,13.833333333333334,9,16
1004451,1782191,6.923076923076923,2,8
1004622,1195864,7.5,2,8
1004658,1241268,7.5,2,8
1004670,2755542,6.923076923076923,2,14
1004726,1312703,6.0,2,8
1004956,474234,12.6,29,10
1005051,457538,8.181818181818182,2,8
1005180,450355,11.428571428571429,12,1
1005227,168194,19.25,15,15
1005309,1262047,6.923076923076923,2,8
1005311,1218477,22.5,2,0
1005733,1588510,3.4615384615384617,2,8
1005790,3011151,7.5,2,14
1005822,810739,12.857142857142858,2,16
1005945,255568,12.25,43,10
1005968,3922118,3.4615384615384617,2,14
1006113,456488,11.25,2,16
1006198,356201,10.0,22,1
1006303,430228,8.3,9,1
1006356,753518,11.0,15,1
1006455,2578988,6.6923076923076925,5,8
1006496,705247,6.916666666666667,9,1
1006695,399385,10.375,9,1
1006740,1759173,6.923076923076923,2,8
1006882,195992,19.25,15,15
1006974,1073848,13.833333333333334,9,16
1007093,1508288,7.25,5,8
1007312,1489159,6.923076923076923,2,8
1007315,305739,14.0,36,10
1007501,529831,7.545454545454546,9,1
1008032,1678241,3.4615384615384617,2,8
1008222,4878660,6.142857142857143,6,14
1008361,1256473,6.916666666666667,9,1
1008425,1163412,6.923076923076923,2,8
1008477,3672024,6.923076923076923,2,14
1008563,1422750,7.166666666666667,6,8
1008749,6098448,6.846153846153846,3,14
1008805,5596740,5.933333333333334,3,14
1008906,675133,19.25,15,15
1008934,53345,49.0,43,17
1008994,6129079,6.6923076923076925,5,14
1009018,88764,41.0,10,12
1009022,714736,13.666666666666666,10,16
1009023,788445,16.4,10,15
1009070,2489184,4.142857142857143,5,14
1009103,2242799,6.846153846153846,3,8
1009266,591881,7.25,5,8
1009338,1210475,6.6923076923076925,5,8
1009510,1486577,7.25,5,8
1009554,4908015,3.4615384615384617,2,14
1009789,4894312,4.285714285714286,2,14
1009817,386102,11.25,2,16
1009866,370578,17.4,5,16
1009987,554912,6.923076923076923,2,8
1010012,5831490,3.4615384615384617,2,14
1010032,638719,11.25,2,16
1010106,1019306,6.6923076923076925,5,8
1010107,319486,10.875,5,16
1010116,397497,16.6,9,16
1010141,708630,19.25,15,15
1010337,484512,11.0,15,1
1010356,240409,14.5,5,16
1010478,2139139,3.9565217391304346,1,14
1010603,1443880,6.846153846153846,3,8
1010696,1935899,7.5,2,8
1010866,395689,7.5,2,8
1010880,6142741,7.0,15,14
1010920,856150,6.923076923076923,2,8
1011066,2846606,7.416666666666667,3,14
1011107,1047298,6.923076923076923,2,8
101125,638746,7.5,2,8
1011323,477006,9.0,2,8
1011359,2314763,8.090909090909092,3,8
1011396,520072,6.923076923076923,2,8
1011408,407221,8.272727272727273,1,8
1011606,113302,18.666666666666668,36,10
1012033,2122140,3.4615384615384617,2,14
1012088,7950490,6.923076923076923,2,14
1012385,205597,18.0,2,16
1012661,742734,6.923076923076923,2,8
1012750,1018706,13.833333333333334,9,16
1012751,1095392,11.25,2,16
1012752,311641,13.833333333333334,9,16
1012931,653106,7.25,5,8
1013022,4743250,4.5,2,14
1013043,417788,9.666666666666666,5,8
1013091,879500,8.090909090909092,3,8
1013206,12100322,3.4615384615384617,2,11
1013283,2932809,6.428571428571429,2,14
1013309,2229754,6.916666666666667,9,1
1013394,70790,28.0,64,5
1013480,699470,7.0,8,8
1013541,508401,8.6,6,8
1013609,1015521,7.545454545454546,9,1
1013741,8148364,3.4615384615384617,2,14
1013824,481879,9.0,2,8
1013861,562235,8.181818181818182,2,8
1013884,1666851,6.6923076923076925,5,8
1014245,945828,7.5,2,8
1014516,6020571,3.4615384615384617,2,14
1014774,330321,21.0,29,6
1014852,923847,6.916666666666667,9,1
1015016,464444,9.0,2,8
1015376,686426,7.7,15,1
1015567,1454822,4.578947368421052,5,8
1015592,523699,7.5,2,8
1015609,303362,19.75,13,0
1015630,5878076,6.923076923076923,2,14
1016048,3310345,6.428571428571429,2,14
1016147,748772,7.7,15,1
1016350,3386366,7.25,5,14
1016480,1402942,7.166666666666667,6,8
1017014,185379,18.0,2,16
1017110,948286,4.578947368421052,5,8
1017145,498966,6.923076923076923,2,8
1017336,2241855,3.4615384615384617,2,14
1017505,3687644,6.923076923076923,2,14
1017751,330438,9.625,15,1
1017753,823059,7.5,2,8
1017999,4488915,6.066666666666666,1,14
1018004,914367,7.5,2,8
1018005,738719,7.5,2,8
1019852,1852201,4.5,2,8
1019906,3205850,7.5,2,14
1019989,68268,56.0,36,7
1020131,376938,8.555555555555555,15,1
1020474,597698,8.3,9,1
1020540,982340,6.916666666666667,9,1
1020557,1054948,7.583333333333333,1,8
1020604,2127534,6.923076923076923,2,8
1020644,818225,6.923076923076923,2,8
1020734,1000036,4.0,12,1
1020809,247739,14.0,22,15
1020826,4345728,3.4615384615384617,2,14
1021023,517947,7.7,15,1
