Cod Cliente,ticket_promedio,ticket_promedio_nivel,dias_entre_compras,frecuencia_compras,frecuencia_nivel,segmento_fm_id,segmento_fm_desc,segmento_fm_agrupado
1199536,26595.68181818182,bajo,17.5,0.05714285714285714,medio,S02,ticket_bajo | frecuencia_medio,Esforzado
1178409,110381.36842105263,alto,10.9375,0.09142857142857143,medio,S08,ticket_alto | frecuencia_medio,Fidelizados
1096778,279896.3181818182,alto,8.333333333333334,0.12,alto,S09,ticket_alto | frecuencia_alto,VIP
1151218,87506.55,alto,10.9375,0.09142857142857143,medio,S08,ticket_alto | frecuencia_medio,Fidelizados
1000127,30117.555555555555,bajo,21.875,0.045714285714285714,bajo,S01,ticket_bajo | frecuencia_bajo,Pequeños
1000245,32261.714285714286,bajo,7.0,0.14285714285714285,alto,S03,ticket_bajo | frecuencia_alto,Esforzado
1000322,47481.75,medio,14.583333333333334,0.06857142857142857,medio,S05,ticket_medio | frecuencia_medio,Neutro
1000332,51573.46153846154,medio,14.583333333333334,0.06857142857142857,medio,S05,ticket_medio | frecuencia_medio,Neutro
1000336,46825.82352941176,medio,9.1875,0.10884353741496598,alto,S06,ticket_medio | frecuencia_alto,Fidelizados
1000384,23540.764705882353,bajo,17.3,0.057803468208092484,medio,S02,ticket_bajo | frecuencia_medio,Esforzado
1000580,192165.7619047619,alto,8.75,0.11428571428571428,alto,S09,ticket_alto | frecuencia_alto,VIP
1000608,112239.02380952382,alto,8.75,0.11428571428571428,alto,S09,ticket_alto | frecuencia_alto,VIP
1000615,30950.4,bajo,22.0,0.045454545454545456,bajo,S01,ticket_bajo | frecuencia_bajo,Pequeños
1000722,38358.818181818184,medio,17.5,0.05714285714285714,medio,S05,ticket_medio | frecuencia_medio,Neutro
1000781,102293.36842105263,alto,9.333333333333334,0.10714285714285714,alto,S09,ticket_alto | frecuencia_alto,VIP
1000998,33900.95652173913,medio,14.0,0.07142857142857142,medio,S05,ticket_medio | frecuencia_medio,Neutro
1001129,20283.0,bajo,10.0625,0.09937888198757763,medio,S02,ticket_bajo | frecuencia_medio,Esforzado
1001255,43450.375,medio,23.857142857142858,0.041916167664670656,bajo,S04,ticket_medio | frecuencia_bajo,Oportunista
1001302,115967.58333333333,alto,10.9375,0.09142857142857143,medio,S08,ticket_alto | frecuencia_medio,Fidelizados
1001429,67243.13157894737,medio,9.210526315789474,0.10857142857142857,alto,S06,ticket_medio | frecuencia_alto,Fidelizados
1001463,42448.96,medio,9.722222222222221,0.10285714285714287,medio,S05,ticket_medio | frecuencia_medio,Neutro
10016,79933.88095238095,alto,4.341463414634147,0.23033707865168537,alto,S09,ticket_alto | frecuencia_alto,VIP
1001651,37698.833333333336,medio,35.0,0.02857142857142857,bajo,S04,ticket_medio | frecuencia_bajo,Oportunista
1002116,48114.92,medio,9.722222222222221,0.10285714285714287,medio,S05,ticket_medio | frecuencia_medio,Neutro
1002464,27115.15,bajo,12.923076923076923,0.07738095238095238,medio,S02,ticket_bajo | frecuencia_medio,Esforzado
1002518,53191.102040816324,medio,4.7368421052631575,0.21111111111111114,alto,S06,ticket_medio | frecuencia_alto,Fidelizados
1002888,29897.0,bajo,9.722222222222221,0.10285714285714287,medio,S02,ticket_bajo | frecuencia_medio,Esforzado
1002902,83835.91428571429,alto,8.333333333333334,0.12,alto,S09,ticket_alto | frecuencia_alto,VIP
1003366,95487.80952380953,alto,12.923076923076923,0.07738095238095238,medio,S08,ticket_alto | frecuencia_medio,Fidelizados
